ref_char,first_frame_touch_x,first_frame_touch_y,prev_shift
ㄴ,0.163330078125,0.500243867902264,False
ㅐ,0.84619140625,0.27009424314416525,False
ㄱ,0.349609375,0.27448550165987506,False
ㅏ,0.818115234375,0.46247209679195705,False
[SPACE],0.56982421875,0.9438553784672509,False
ㅊ,0.365234375,0.6987715980427635,False
ㅜ,0.69677734375,0.7119471357321544,False
ㅇ,0.288330078125,0.4765269434698469,False
ㅜ,0.680419921875,0.7005284538774996,False
ㅣ,0.941162109375,0.412400572696235,False
ㄹ,0.3740234375,0.48531122264352805,False
ㅡ,0.802978515625,0.6873511540458471,False
ㄹ,0.384765625,0.4993663210560267,False
[SPACE],0.5859375,0.944734435721141,False
ㅁ,0.056640625,0.4756478862159568,False
ㅏ,0.821044921875,0.49497330039805537,False
ㅁ,0.158203125,0.47828379930458315,False
ㅎ,0.500244140625,0.4914595887285829,False
ㅇ,0.312744140625,0.47389077864661183,False
ㅣ,0.9248046875,0.45193071004893093,False
[SPACE],0.617431640625,0.9324364448779874,False
ㅌ,0.28515625,0.6829596437955285,False
ㅏ,0.818603515625,0.48531122264352805,False
ㄴ,0.189453125,0.4572015292877484,False
ㅡ,0.784423828125,0.6855945499457198,False
ㄴ,0.181640625,0.5063937443949716,False
[SPACE],0.61474609375,0.9306795890432511,False
ㅍ,0.492431640625,0.6794459321260561,False
ㅕ,0.664794921875,0.2911767648956088,False
ㄴ,0.16650390625,0.4791615978854293,False
ㅇ,0.30029296875,0.4572015292877484,False
ㅣ,0.9111328125,0.5046368885602354,False
ㅁ,0.15576171875,0.4835543668087918,False
ㄱ,0.3359375,0.27799946506395634,False
ㅏ,0.811767578125,0.4677426642961658,False
ㅂ,0.027099609375,0.2613099639704841,False
ㅗ,0.57177734375,0.5046368885602354,False
ㅏ,0.75341796875,0.4791615978854293,False
[BKSP],0.927490234375,0.6574843531207225,False
[BKSP],0.9462890625,0.6645117764596674,False
[BKSP],0.94873046875,0.6592412089554587,False
[BKSP],0.9462890625,0.6680254881291399,False
[BKSP],0.94921875,0.6847164996302648,False
[BKSP],0.947998046875,0.6873511540458471,False
[BKSP],0.953857421875,0.6926217215500559,False
[BKSP],0.947998046875,0.701406000723737,False
[BKSP],0.940673828125,0.7233675797290706,False
[BKSP],0.939208984375,0.7339089664720968,False
[BKSP],0.93505859375,0.7418154470649317,False
[BKSP],0.934326171875,0.7541136896426942,False
[BKSP],0.927490234375,0.6899870671344734,False
ㅁ,0.0634765625,0.4914595887285829,False
ㅏ,0.787353515625,0.4633496436381944,False
ㄴ,0.177001953125,0.4747700876351107,False
ㅎ,0.489013671875,0.46598580846142956,False
ㅇ,0.2919921875,0.494095753551818,False
ㅣ,0.920654296875,0.4615927878034582,False
[BKSP],0.932373046875,0.7391797857109142,False
[BKSP],0.93603515625,0.7444501014805142,False
[BKSP],0.92822265625,0.7418154470649317,False
[BKSP],0.92431640625,0.7374226781415693,False
ㅁ,0.06396484375,0.4765269434698469,False
ㅏ,0.81689453125,0.45280850862977706,False
ㄴ,0.173828125,0.469499520130902,False
ㄹ,0.446533203125,0.5063937443949716,False
[BKSP],0.9287109375,0.7022855614468446,False
ㅎ,0.49609375,0.4633496436381944,False
[BKSP],0.909423828125,0.6917439229692097,False
[BKSP],0.91943359375,0.711069588885917,False
ㅁ,0.069091796875,0.516934879403389,False
ㅏ,0.81689453125,0.4545653644645133,False
ㄴ,0.179443359375,0.47301323180037447,False
ㅎ,0.5322265625,0.4993663210560267,False
ㅇ,0.2939453125,0.4492947969603046,False
ㅣ,0.925537109375,0.45105165279504084,False
[SPACE],0.600341796875,0.9333142434588335,False
ㅌ,0.30419921875,0.6592412089554587,False
ㅏ,0.782470703125,0.48004065513931937,False
ㄴ,0.193359375,0.44753819286017715,False
ㅡ,0.77099609375,0.6645117764596674,False
ㄴ,0.181396484375,0.4589583851224846,False
[SPACE],0.611083984375,0.92189530986957,False
ㅍ,0.5009765625,0.6882302112997373,False
ㅕ,0.6591796875,0.26745807832093016,False
ㄴ,0.208251953125,0.4563222202992495,False
ㅇ,0.30078125,0.46598580846142956,False
ㅣ,0.94189453125,0.45368756588366715,False
ㄴ,0.162109375,0.4791615978854293,False
ㄱ,0.334716796875,0.28766280149152756,False
ㅏ,0.835693359375,0.4545653644645133,False
ㅂ,0.0263671875,0.2894196573262638,False
ㅗ,0.61279296875,0.5125421104800264,False
ㅏ,0.78662109375,0.4791615978854293,False
ㅎ,0.45429809166712193,0.47829524813285135,False
ㅏ,0.7878976555998888,0.5300152123883449,False
ㄱ,0.34480904057223144,0.2385663544151306,False
ㅣ,0.896164667033511,0.5083487806078016,False
ㄴ,0.16688933254303434,0.4824890924960646,False
[SPACE],0.6481035356466498,0.8661948820437171,False
ㅈ,0.13242961285033075,0.3126517245117031,False
ㅣ,0.9149830976904454,0.5209293336440756,False
ㄱ,0.3548292386053252,0.32033985114557456,False
ㅡ,0.7561261836992273,0.6760892264105565,False
ㅁ,0.06399896055677512,0.45313453408164983,False
ㅂ,0.0681536763616432,0.28329716609728833,False
ㅜ,0.6649667622471668,0.7117339633377716,False
ㅌ,0.27686718465202914,0.6593150250217424,False
ㅓ,0.6752313607873127,0.5083487806078016,False
[SPACE],0.6566573677634381,0.9235062467621487,False
ㅈ,0.14196102843232397,0.30216789764636265,False
ㅜ,0.6845183572992501,0.7089382631063027,False
ㄴ,0.16786691600823925,0.45732779041284355,False
ㅂ,0.058133473687798434,0.27980268781595696,False
ㅣ,0.9245144575834274,0.54399371354569,False
ㅎ,0.49657848836296664,0.4552310642419101,False
ㅏ,0.7612584829693003,0.5293164343384826,False
ㄴ,0.1671337330500865,0.47410179579098444,False
ㅡ,0.771034280495342,0.6795837046918879,False
[MISS],0.15980188490555525,0.5041553282659348,False
ㄱ,0.34383147567003025,0.28120043992635485,False
ㅔ,0.9316020351619326,0.3364148824631799,False
[SPACE],0.6441932017858301,0.9095277456048037,False
ㅁ,0.14758211943499944,0.3636727147066612,False
ㅗ,0.6050899374296486,0.5293164343384826,False
[BKSP],0.952619959004314,0.6572182988508091,False
[BKSP],0.9098507984203724,0.6579172729113446,False
ㅈ,0.1417166372067737,0.2665231607191475,False
ㅗ,0.6043567730344995,0.5279184862174116,False
ㅎ,0.4887578206413274,0.4768974960224534,False
ㄱ,0.33454444203208544,0.25044812940154215,False
ㅣ,0.9125390926199238,0.52023035958354,False
ㄴ,0.1671337330500865,0.4978649537424612,False
[SPACE],0.6656999266423158,0.898345336700274,False
ㅎ,0.48435872289241083,0.5006606539739302,False
ㅏ,0.8164918095308499,0.48738151889846704,False
ㅈ,0.1341403792736884,0.33851180464478653,False
ㅣ,0.8912767311444828,0.5181336334126065,False
[BKSP],0.9369786235610355,0.6467346679961418,False
[BKSP],0.9425997238452127,0.6558205467404111,False
[BKSP],0.9543307254276716,0.6558205467404111,False
[BKSP],0.9462656943249876,0.6488315901777484,False
[BKSP],0.9447992912826747,0.6516270943985442,False
[BKSP],0.95188672035715,0.6495301722169375,False
[BKSP],0.9619069555162514,0.6767880044604189,False
[BKSP],0.9267140250208894,0.6858740792153615,False
[BKSP],0.9320907619240221,0.6837771570337549,False
ㄴ,0.19303962990750362,0.45593003830244566,False
ㅡ,0.7869199793196653,0.6732937221897607,False
ㄴ,0.1859521637070208,0.48039217031445797,False
ㄱ,0.3594728111133088,0.23926532847566614,False
ㅔ,0.93355709071432,0.32033985114557456,False
[SPACE],0.6349061310218779,0.9256029729330821,False
ㅈ,0.13707312966930316,0.23646962824419715,False
ㅗ,0.5948253388895025,0.47829524813285135,False
ㅎ,0.49804485427927214,0.465015917046715,False
ㄱ,0.3181699793196653,0.23507187613379923,False
ㅣ,0.918893431551265,0.4957682275715277,False
ㄴ,0.1690888999804963,0.49227394530086954,False
[SPACE],0.6796304956622368,0.9032377631026764,False
ㅎ,0.4863138898228207,0.5027573801448636,False
